	sample1::group1	sample2::group1	sample3::group1	sample4::group2	sample5::group2	sample6::group2	sample7::group2	sample8::group2	sample9::group2	mean_all_samples	group1::group_mean	group2::group_mean	group1::group_sd	group2::group_sd	Kruskal-Wallis::stat	Kruskal-Wallis::p	Kruskal-Wallis::fdr
category1	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category2	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category3	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category4	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category5	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category6	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category7	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category8	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category9	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
category10	1	1	1	2	2	2	2	2	2	1.66666666666667	1	2	0	0	8	0.00467773498104727	0.0467773498104727
