	sample1::tp1	sample2::tp1	sample3::tp2	sample4::tp2	sample5::tp3	sample6::tp3	sample7::tp4	sample8::tp4	sample9::tp4	tp1::group_mean	tp2::group_mean	tp3::group_mean	tp4::group_mean	tp1::group_sd	tp2::group_sd	tp3::group_sd	tp4::group_sd	Kruskal-Wallis::stat	Kruskal-Wallis::p	Kruskal-Wallis::fdr
category1	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category2	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category3	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category4	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category5	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category6	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category7	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category8	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category9	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
category10	1	1	1	2	2	2	2	2	2	1	1.5	2	2	0	0.707106781186548	0	0	6	0.111610225094713	1
